               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  51,            0.034093,           0.0065465,           0.0035146,             0.69389,             0.58307,              0.6088,             0.31546,             0.03035,           0.0051384,           0.0063526,             0.00505,             0.00505,             0.00505
                  52,            0.033798,           0.0064574,           0.0030512,             0.72169,             0.58378,             0.60974,             0.31789,            0.030311,           0.0051202,            0.006517,            0.004951,            0.004951,            0.004951
                  53,            0.033713,           0.0064684,           0.0032025,             0.71361,             0.57779,             0.60502,             0.30998,            0.030311,           0.0051216,           0.0065663,            0.004852,            0.004852,            0.004852
                  54,            0.033581,           0.0065561,           0.0032243,               0.732,             0.55627,             0.60312,             0.30663,            0.030402,            0.005117,           0.0066049,            0.004753,            0.004753,            0.004753
                  55,            0.034009,           0.0065765,            0.003026,             0.69989,             0.60561,             0.60384,              0.3045,            0.030244,           0.0051131,           0.0067588,            0.004654,            0.004654,            0.004654
                  56,            0.033277,           0.0065226,            0.002867,             0.74061,             0.57093,             0.60941,             0.31439,            0.030167,           0.0051047,           0.0065179,            0.004555,            0.004555,            0.004555
                  57,            0.033685,           0.0065253,           0.0029766,             0.73603,             0.56916,             0.61818,             0.31635,            0.030135,           0.0051045,            0.006332,            0.004456,            0.004456,            0.004456
                  58,            0.032831,            0.006447,           0.0027047,             0.75346,             0.59064,             0.62327,             0.31406,            0.030103,           0.0051058,           0.0064681,            0.004357,            0.004357,            0.004357
                  59,            0.033569,           0.0063861,            0.002728,             0.77179,             0.58819,             0.63212,             0.31895,            0.030159,           0.0051044,           0.0065248,            0.004258,            0.004258,            0.004258
                  60,            0.033184,           0.0064364,            0.002636,             0.77151,              0.5859,             0.62873,             0.31972,            0.030255,           0.0051133,           0.0066388,            0.004159,            0.004159,            0.004159
                  61,            0.032264,           0.0064259,            0.002583,             0.74905,             0.59087,             0.62183,             0.31508,            0.030222,           0.0051091,           0.0066735,             0.00406,             0.00406,             0.00406
                  62,            0.032574,           0.0063791,           0.0025311,             0.73822,             0.58724,             0.62003,             0.32015,            0.030213,           0.0051069,           0.0066437,            0.003961,            0.003961,            0.003961
                  63,            0.032336,           0.0063806,           0.0024768,             0.73853,             0.56486,             0.61586,             0.31559,            0.030146,           0.0050987,           0.0066314,            0.003862,            0.003862,            0.003862
                  64,            0.031921,           0.0062414,           0.0026351,             0.70891,             0.57788,             0.62307,             0.31973,            0.030091,           0.0050921,           0.0065633,            0.003763,            0.003763,            0.003763
                  65,            0.032248,           0.0062898,           0.0026686,             0.72177,             0.58269,             0.62549,             0.32234,            0.030061,           0.0050868,           0.0064649,            0.003664,            0.003664,            0.003664
                  66,            0.031708,           0.0062048,           0.0026089,             0.74817,             0.56895,             0.62755,               0.322,             0.03003,           0.0050842,           0.0064205,            0.003565,            0.003565,            0.003565
                  67,            0.031096,             0.00622,           0.0026084,             0.75911,             0.57691,             0.62593,             0.32459,            0.030017,           0.0050845,           0.0064567,            0.003466,            0.003466,            0.003466
                  68,            0.031298,           0.0061811,           0.0024224,             0.74923,             0.57346,             0.63039,             0.32237,            0.029959,           0.0050849,           0.0065283,            0.003367,            0.003367,            0.003367
                  69,            0.031296,           0.0061199,           0.0021955,             0.75028,             0.56801,             0.62881,             0.32113,            0.029937,           0.0050875,           0.0065681,            0.003268,            0.003268,            0.003268
                  70,            0.030808,           0.0061451,           0.0021578,             0.73495,             0.59633,             0.63607,             0.32393,            0.029938,           0.0050955,           0.0066422,            0.003169,            0.003169,            0.003169
                  71,            0.030156,           0.0061007,           0.0021074,             0.74408,             0.57774,             0.63346,             0.32003,            0.029952,           0.0051033,           0.0066433,             0.00307,             0.00307,             0.00307
                  72,            0.030292,           0.0060895,           0.0020644,             0.73963,              0.5776,             0.62617,             0.31359,            0.029988,           0.0051041,           0.0067387,            0.002971,            0.002971,            0.002971
                  73,            0.030426,           0.0060124,           0.0021009,             0.74712,             0.57227,             0.62655,             0.31696,             0.03003,           0.0051058,           0.0067766,            0.002872,            0.002872,            0.002872
                  74,            0.030045,           0.0060472,           0.0021509,             0.74459,             0.57371,             0.63205,             0.32165,            0.030057,           0.0051049,           0.0067667,            0.002773,            0.002773,            0.002773
                  75,            0.029438,           0.0060243,           0.0019221,             0.74133,             0.57415,             0.62959,             0.32135,            0.030064,           0.0051062,           0.0067702,            0.002674,            0.002674,            0.002674
                  76,             0.02908,           0.0058922,           0.0018305,             0.73415,             0.57933,             0.62962,             0.32302,            0.030089,           0.0051069,           0.0067504,            0.002575,            0.002575,            0.002575
                  77,            0.028773,           0.0059181,           0.0018123,             0.72918,             0.58011,             0.62923,             0.32318,            0.030119,           0.0051106,           0.0067318,            0.002476,            0.002476,            0.002476
                  78,            0.029753,             0.00591,           0.0017738,             0.73694,              0.5785,             0.62657,             0.32214,            0.030151,           0.0051113,           0.0067573,            0.002377,            0.002377,            0.002377
                  79,            0.028895,           0.0058395,           0.0018442,             0.73588,             0.57901,             0.62524,             0.32345,            0.030172,           0.0051135,             0.00677,            0.002278,            0.002278,            0.002278
