                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                  1.055,                0.94039,                0.91665,                 0.7233,                0.70343,                0.74733,                0.55388,                0.97572,                0.81316,                0.89281,               0.005644,               0.005644,               0.005644
                     47,                 1.0521,                0.93839,                0.91572,                0.72551,                0.70406,                0.74839,                 0.5549,                0.97489,                0.81019,                0.89244,               0.005545,               0.005545,               0.005545
                     48,                 1.0496,                0.93292,                0.91504,                0.73371,                0.70019,                 0.7495,                0.55596,                0.97434,                0.80763,                0.89228,               0.005446,               0.005446,               0.005446
                     49,                 1.0491,                0.92536,                0.91494,                0.73525,                0.70288,                0.75061,                0.55731,                0.97336,                0.80524,                0.89195,               0.005347,               0.005347,               0.005347
                     50,                 1.0477,                0.92182,                0.91449,                0.73105,                0.70801,                0.75151,                0.55799,                0.97229,                0.80255,                0.89159,               0.005248,               0.005248,               0.005248
                     51,                 1.0469,                0.92255,                0.91468,                0.73118,                0.70883,                0.75292,                0.55969,                 0.9711,                0.80008,                0.89116,               0.005149,               0.005149,               0.005149
                     52,                 1.0435,                0.91979,                0.91338,                0.73525,                 0.7055,                0.75416,                0.56061,                0.96993,                0.79783,                0.89085,                0.00505,                0.00505,                0.00505
                     53,                 1.0434,                 0.9163,                0.91277,                0.73409,                0.70868,                0.75553,                0.56183,                0.96897,                0.79534,                0.89048,               0.004951,               0.004951,               0.004951
                     54,                 1.0372,                0.90687,                0.91121,                0.72609,                0.71657,                0.75658,                  0.563,                0.96782,                0.79344,                0.89009,               0.004852,               0.004852,               0.004852
                     55,                 1.0382,                0.90473,                0.91243,                0.72846,                0.71709,                0.75741,                0.56397,                0.96684,                0.79125,                0.88979,               0.004753,               0.004753,               0.004753
                     56,                 1.0366,                0.90005,                0.91171,                0.72827,                0.71828,                0.75812,                0.56519,                0.96599,                0.78945,                0.88935,               0.004654,               0.004654,               0.004654
                     57,                 1.0334,                0.89691,                0.91079,                 0.7313,                0.71714,                0.75895,                 0.5665,                0.96503,                0.78743,                0.88898,               0.004555,               0.004555,               0.004555
                     58,                 1.0313,                0.89209,                0.90989,                0.73181,                0.71717,                0.75968,                0.56722,                0.96383,                0.78575,                0.88861,               0.004456,               0.004456,               0.004456
                     59,                 1.0311,                0.89191,                0.90941,                0.73077,                0.71937,                0.76089,                0.56843,                0.96261,                  0.783,                0.88823,               0.004357,               0.004357,               0.004357
                     60,                 1.0289,                0.88555,                0.90971,                0.73487,                0.71828,                0.76131,                0.56956,                0.96187,                0.78113,                0.88799,               0.004258,               0.004258,               0.004258
                     61,                 1.0249,                0.87813,                0.90783,                0.73539,                0.71913,                0.76257,                0.57062,                0.96103,                0.77914,                0.88759,               0.004159,               0.004159,               0.004159
                     62,                 1.0238,                 0.8797,                0.90731,                0.73961,                0.71579,                0.76317,                0.57149,                0.96001,                0.77692,                 0.8872,                0.00406,                0.00406,                0.00406
                     63,                 1.0213,                0.87146,                0.90673,                0.74201,                0.71335,                0.76369,                0.57203,                 0.9588,                0.77489,                0.88685,               0.003961,               0.003961,               0.003961
                     64,                 1.0184,                0.87041,                  0.906,                0.74134,                0.71405,                0.76448,                0.57287,                0.95768,                0.77317,                0.88657,               0.003862,               0.003862,               0.003862
                     65,                 1.0178,                0.86586,                0.90668,                0.74663,                0.71366,                0.76531,                0.57384,                0.95678,                0.77146,                0.88628,               0.003763,               0.003763,               0.003763
                     66,                 1.0152,                0.86199,                0.90521,                 0.7547,                0.70878,                0.76624,                0.57444,                 0.9557,                0.76989,                0.88596,               0.003664,               0.003664,               0.003664
                     67,                 1.0125,                 0.8571,                0.90488,                0.74432,                0.71866,                0.76661,                0.57507,                0.95493,                0.76798,                 0.8858,               0.003565,               0.003565,               0.003565
                     68,                 1.0079,                0.85348,                0.90417,                0.74403,                0.71969,                0.76734,                0.57587,                0.95405,                0.76682,                0.88556,               0.003466,               0.003466,               0.003466
                     69,                 1.0065,                0.84714,                0.90266,                 0.7436,                0.72115,                0.76804,                0.57614,                0.95317,                 0.7655,                0.88537,               0.003367,               0.003367,               0.003367
                     70,                 1.0073,                 0.8446,                0.90253,                0.73549,                0.72503,                0.76858,                 0.5769,                0.95252,                0.76373,                0.88509,               0.003268,               0.003268,               0.003268
                     71,                 1.0011,                0.83615,                0.90155,                 0.7409,                0.72415,                 0.7689,                0.57795,                0.95196,                0.76219,                0.88491,               0.003169,               0.003169,               0.003169
                     72,                 1.0038,                0.83421,                0.90338,                0.74094,                 0.7257,                0.76938,                 0.5783,                 0.9515,                0.76074,                0.88489,                0.00307,                0.00307,                0.00307
                     73,                0.99889,                0.83026,                0.90085,                0.73973,                0.72663,                0.76986,                0.57914,                0.95061,                0.75913,                0.88461,               0.002971,               0.002971,               0.002971
                     74,                0.99928,                0.82807,                0.90097,                0.74266,                0.72605,                0.77056,                0.58009,                0.95004,                0.75856,                0.88441,               0.002872,               0.002872,               0.002872
                     75,                0.99074,                0.81945,                0.89957,                0.73948,                0.72814,                0.77082,                0.58076,                0.94956,                0.75753,                0.88418,               0.002773,               0.002773,               0.002773
                     76,                 0.9929,                0.81756,                0.90065,                0.74564,                0.72493,                0.77134,                0.58137,                0.94882,                0.75656,                0.88403,               0.002674,               0.002674,               0.002674
                     77,                0.98692,                 0.8099,                0.89827,                0.74756,                0.72393,                0.77158,                0.58166,                0.94824,                0.75551,                0.88382,               0.002575,               0.002575,               0.002575
                     78,                0.98585,                0.80494,                0.89827,                0.75021,                0.72411,                0.77164,                0.58209,                0.94746,                0.75502,                0.88367,               0.002476,               0.002476,               0.002476
                     79,                0.98899,                0.80458,                0.89818,                0.75131,                0.72346,                0.77195,                 0.5821,                0.94685,                0.75385,                0.88358,               0.002377,               0.002377,               0.002377
                     80,                0.98145,                0.79867,                0.89686,                0.74724,                0.72836,                0.77273,                0.58302,                 0.9463,                0.75271,                0.88344,               0.002278,               0.002278,               0.002278
                     81,                0.97832,                0.79214,                0.89637,                 0.7522,                 0.7262,                 0.7732,                0.58346,                0.94592,                0.75162,                0.88333,               0.002179,               0.002179,               0.002179
                     82,                0.97787,                0.79013,                0.89651,                0.75395,                0.72617,                0.77379,                0.58443,                 0.9454,                 0.7505,                0.88316,                0.00208,                0.00208,                0.00208
                     83,                0.97164,                0.78392,                 0.8942,                0.75359,                 0.7269,                0.77395,                0.58441,                0.94456,                0.74943,                0.88294,               0.001981,               0.001981,               0.001981
                     84,                 0.9701,                 0.7749,                 0.8941,                0.75119,                0.72738,                0.77453,                0.58573,                0.94388,                0.74863,                0.88276,               0.001882,               0.001882,               0.001882
                     85,                0.96475,                0.77043,                0.89325,                0.75344,                 0.7261,                0.77495,                0.58613,                0.94326,                0.74784,                0.88256,               0.001783,               0.001783,               0.001783
                     86,                0.96324,                0.76121,                0.89216,                 0.7621,                 0.7213,                0.77532,                0.58662,                 0.9431,                0.74703,                0.88244,               0.001684,               0.001684,               0.001684
                     87,                0.95846,                0.76282,                0.89117,                0.75845,                0.72467,                0.77557,                0.58731,                0.94249,                0.74653,                0.88228,               0.001585,               0.001585,               0.001585
                     88,                0.95742,                0.75414,                0.89112,                0.74992,                0.73057,                0.77603,                0.58781,                0.94198,                0.74604,                0.88211,               0.001486,               0.001486,               0.001486
                     89,                0.95468,                0.75018,                 0.8903,                0.74952,                0.73102,                0.77633,                0.58823,                0.94135,                0.74524,                0.88197,               0.001387,               0.001387,               0.001387
                     90,                 0.9519,                0.74727,                0.88953,                0.75599,                0.72558,                0.77659,                0.58878,                0.94071,                0.74449,                 0.8816,               0.001288,               0.001288,               0.001288
